Samtala,,Sérheiti,Hlutverk,Tegund,X (A),Y (N),nakvaemni,Uppdrættir,Ljósmyndir,Skrásetjari á vettvangi,Dags,Skrásetjari á gagnagrunn,Dagsetning innsláttar,Sveitarfélagsnúmer
ÁR-005:003,,,bænhús,gerði,415997,378395,2,ÁR005-003,ÁR_005_003_V; ÁR_005_003_NV,OV/RGG,06/12/03,ÁE,,
ÁR-005:004,,Borgarhús,fjárskýli,tóftir,416305,380066,2,ÁR005-004,ÁR_005_004 a-c,RGG,19/05/11,ÁE,,
ÁR-005:005,,,,öskuhaugur,415913,378297,2,,ÁR005_034_ASA,RGG,19/05/11,ÁE,,
ÁR-005:006,,Garðamýri,,örnefni,416276,379806,2,,,RGG,19/05/11,ÁE,,
ÁR-005:007,,Sigurðartóft,fjárhús,tóft,416088,379791,2,ÁR005-007,R_005_007_NNV; ÁR_005_007b_NNA; ÁR_005_007b_NNV,RGG,19/05/11,ÁE,,
ÁR-005:008,,Helluvað,vað,gata,415936,379475,2,,ÁR_005_008_A,RGG,19/05/11,ÁE,,
ÁR-005:009,,Ferjulág,ferja,heimild,416319,378558,2,,ÁR_005_009-027,RGG,23/05/11,ÁE,,
ÁR-005:010,,Lambhúsholt,lambhús,heimild,416023,378476,2,,,RGG,17/05/11,ÁE,,
ÁR-005:011,,,leið,heimild,415831,378225,2,,,RGG,20/05/11,,,
ÁR-005:012,,Kóngsstekkir,stekkur,tóftaþyrping,415102,378578,2,ÁR005_012,ÁR005_012a-e,RGG,20/05/11,ÁE,,
ÁR-005:013,,,áveita,garðlag,414602,379357,2,,,RGG,,ÁE,,
ÁR-005:014,,,landamerki,garðlag,415624,378456,2,,ÁR005_014_NA,RGG,20/05/11,,,
ÁR-005:015,,,mógrafir,náma,414452,378733,2,,ÁR_005_015_NV,RGG,20/05/11,ÁE,,
ÁR-005:016,,Sortinn,draugur,heimild,414803,379471,2,,,RGG,19/05/11,ÁE,,
ÁR-005:017,,Ærhústún,beitarhús,tóft,415193,378943,2,ÁR005-017,ÁR_005_017_N,RGG,20/05/11,ÁE,,
ÁR-005:018,,Reiðingsflóð,rista,náma,415621,380170,2,,ÁR_005_018_SA,RGG,18/05/11,ÁE,,
ÁR-005:020,,,mógrafir,náma,414302,378553,2,,ÁR_005_020_S,RGG,20/05/11,ÁE,,
ÁR-005:021,,,heystæði,tóft,414415,378480,2,ÁR005-021,ÁR_005_021_N,RGG,20/05/11,ÁE,,
ÁR-005:022,,,beitarhús,heimild,415470,378900,2,,,RGG,20/05/11,ÁE,,
ÁR-005:023,,Markalátur,lögn,heimild,417078,380114,2,,ÁR_005_023_SSA,RGG,18/05/11,ÁE,,
ÁR-005:024,,Klöppin,lögn,heimild,416916,380029,2,,ÁR_005_024_S,RGG,18/05/11,ÁE,,
ÁR-005:025,,Miðlátur,lögn,heimild,416664,379615,2,,ÁR_005_025_S,RGG,18/05/11,ÁE,,
